"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.584/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x888baae0940576334819bba0e1b1eaa7cb8f76fc39c6fc7874cee339c09ec5f5","8306908","1622414431","2021-05-30 22:40:31","0x12164b332d01cc694e752d7039ee21d56fe7705d","","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","0","0","0","0.11272745","0.2912877308","0.29","","","0x60806040",""
"0x2ad2a34f30474d5ea5e1359f201a15eeefc814429c4f1925032f9e12de2d10b1","8310139","1622416642","2021-05-30 23:17:22","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0404374","0.1044902416","0.29","","","Add",""
"0xd226614e3ad9f65352150e1454b0d3c64fb34a104f458955c2dc08a3a93e6d00","8310144","1622416645","2021-05-30 23:17:25","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0392492","0.1014199328","0.29","","","Add",""
"0x2a76e92ad0798501f1946fddef10097a0867dcabc4a99c8f370c8ed7198b3a23","8864412","1622806708","2021-06-04 11:38:28","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.003604104","0.009313004736","0.34","Error(0)","Reverted","Deposit",""
"0x0d3baafdbd0ed780ee1e4b4b01c88b2faffe07527738c2915ac1070f4e139f94","8951674","1622898841","2021-06-05 13:14:01","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.002009158664151378","0.00519166598816716","0.31","","","Deposit",""
"0xc4698df2a920271e5d1d86bf4b39c8770e2716d3469653226c9d045c896b238a","8991463","1622941873","2021-06-06 01:11:13","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.001734408","0.004481710272","0.34","","","Withdraw",""
"0xa031c15cecc91ea16bf13d42bdba91897355664c9bee8b29d5a6f5b5a89e6fc9","8996769","1622947800","2021-06-06 02:50:00","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.01639475","0.042364034","0.34","Error(0)","Reverted","Deposit",""
"0x7b1c8dcbefbf77fed60b94e240d3ba7cbf190d1a67ae48420ec026f4a457c189","8998206","1622949470","2021-06-06 03:17:50","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.01639745","0.0423710108","0.34","Error(0)","Reverted","Deposit",""
"0xb5f8004da609a4fe55b5729871a5fa5521056dc3bda6fbff4eb3b8557ebe8f97","9022059","1622975972","2021-06-06 10:39:32","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.01639905","0.0423751452","0.34","Error(0)","Reverted","Deposit",""
"0x76fe346b3cea74f0689ebd35812b8d97448c414e3a534165500625df6b6bc21c","9022130","1622976041","2021-06-06 10:40:41","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0x3d9d2e0178f9749bbef84fe1e82fc214630a6ce0ac3375e038837a4b59a02fe5","9022204","1622976111","2021-06-06 10:41:51","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0x40bee708cf5e0148bf4fa6fff242566be4953eb9b2da02578f925f25435b6a10","9022278","1622976182","2021-06-06 10:43:02","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
