"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.577/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0xdf8c5dfcbb84af5972a5de85464a4c6da857f805e175c7e5272fedc8bcf4d243","9387741","1623367954","2021-06-10 23:32:34","0x12164b332d01cc694e752d7039ee21d56fe7705d","","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","0","0","0","0.2647289","0.6822063753","0.28","","","0x60018054",""
"0x557a124aa3525fcfc22c7830b093f96425c4dc3d800e4f3a06ab775d692b4b16","9387748","1623367963","2021-06-10 23:32:43","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.0687188","0.1770883476","0.28","","","Initialize",""
"0xabff4daf72950627dc97e21fd511377cb8f80835a6c9b1220147fcd7d7a82a7f","9387750","1623367965","2021-06-10 23:32:45","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.03833655","0.09879328935","0.28","","","Set Extra Funds",""
"0xc82e9c73de1e8735c6ab5afd0f57d54bbe4ba8b38ea14aaac1c0389cef77328c","9511461","1623501016","2021-06-12 12:30:16","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.05427925","0.13987762725","0.24","","","Allocate Seigniorage",""
"0xfda93ceafbaf10d4067a5f017b9f9ae2b4f3fddd53d74ef6f48759f15c20810b","9513415","1623502926","2021-06-12 13:02:06","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.00120048","0.00309363696","0.24","","","Set Bootstrap",""
"0x00da40a68426a9561f38acb366458d3b514311a199155a8a68b6383d4f6bd0d6","9531980","1623522615","2021-06-12 18:30:15","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.05263205","0.13563279285","0.24","","","Allocate Seigniorage",""
"0x253b6d8662fe22a7975246d6b08de6052c08d74782218c87a5b445e3a9d67fa2","9551346","1623544219","2021-06-13 00:30:19","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.05244305","0.13514573985","0.28","","","Allocate Seigniorage",""
"0x8c869a89f106c27a13c57d48bba47f9958b28128b39678c080e585f3a0b9f7d2","9571963","1623565816","2021-06-13 06:30:16","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.05244305","0.13514573985","0.28","","","Allocate Seigniorage",""
"0xb1cc671ee315d816374c4b062a135fec1a203a712c66c0eab9d7e9eb62811e63","9591879","1623587418","2021-06-13 12:30:18","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.05244305","0.13514573985","0.28","","","Allocate Seigniorage",""
"0xa3010c160c1598024d58c0093b62e0db9e5f6c25bd678651d1d8ace3d4c17cdb","9612355","1623609020","2021-06-13 18:30:20","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.05006215","0.12901016055","0.28","Error(0)","Reverted","Allocate Seigniorage",""
"0xd2579ebf29bbee0ebcd4fc802e4d33a109df77944f4304389fb3e9ab66841b8e","9631877","1623630616","2021-06-14 00:30:16","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.05244305","0.13514573985","0.30","","","Allocate Seigniorage",""
"0xe6dbdba5ce8f44a82e3c3a11dde3ad63a8dbcca664bbaae0661d3c6ba058ee8c","9650642","1623652217","2021-06-14 06:30:17","0x12164b332d01cc694e752d7039ee21d56fe7705d","0xf50c6daaaec271b56fcddfbc38f0b56ca45e6f0d","","0","0","0","0.05244305","0.13514573985","0.30","","","Allocate Seigniorage",""
