"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.579/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0xebc9679489ee59512c6d770a898e8899174ee68e1b1d6c32f25b8f1d72f11368","9387744","1623367957","2021-06-10 23:32:37","0x12164b332d01cc694e752d7039ee21d56fe7705d","","0x8764de60236c5843d9faeb1b638fbce962773b67","0","0","0","0.13367645","0.34475156455","0.28","","","0x60806040",""
"0x190b2b7d0b64d5d3ca5748899e3ae94dc3ae99ff7306f458d5f4482321a6f205","9387746","1623367960","2021-06-10 23:32:40","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.04219575","0.10882283925","0.28","","","Initialize",""
"0xedb9dfd31ff5bf48ff9225312e9ca3f0ec104bb4a091788d3f3d5cf839831298","9388157","1623368398","2021-06-10 23:39:58","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00238232","0.00614400328","0.28","","","Set Operator",""
"0x274a00e3b484494fb65e415c2ac57a89675d98ba293b93688b4b9a4e42b26908","9443032","1623427976","2021-06-11 16:12:56","0x5f0165ae73441e0ef9a43ea6a8bb4245c234b7cb","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.011900971227526031","0.0306926047957896","0.25","","","Stake",""
"0x763e580640022340600e88b64d2ba7b861af1cea7767d16df34c3fac1876f63a","9459118","1623445259","2021-06-11 21:00:59","0x28ead95628610b4ee91408cfe1c225c71ab6e7a8","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613445","0.01582074655","0.25","","","Stake",""
"0x1df3920d2996d4918ed4ea5725162fd7db515ef00444190256eb69cf5a87e17d","9459299","1623445453","2021-06-11 21:04:13","0x3b66c992860abd1ec94b917e222dca78ad55032f","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613505","0.01582229395","0.25","","","Stake",""
"0x889b544c935e0f8347de910f97a2060c8ef9d63aba9769d081cc6a759bfbb5b9","9459323","1623445478","2021-06-11 21:04:38","0x28ead95628610b4ee91408cfe1c225c71ab6e7a8","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.0107746","0.0277876934","0.25","","","Stake",""
"0x69882f7bb18df6400c53d1368879d8e2ee690a85626286a8cf7735dc7649c5df","9459328","1623445482","2021-06-11 21:04:42","0x84b8fc1711556e0cb6692da843ed10efaaa4d027","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613505","0.01582229395","0.25","","","Stake",""
"0xa1aa4b809ba005f50e3263a2957f113539041b3759db55126aa961d0632f033c","9459400","1623445566","2021-06-11 21:06:06","0xcb58e5b910d260aa1e6cf55fecc5261868cca570","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613385","0.01581919915","0.25","","","Stake",""
"0x397a625c5daa079c72a4d52c4febaa6fff82f60edeac313af0e58c5645950f6a","9459422","1623445594","2021-06-11 21:06:34","0x580a5b2f32bd14af9da1e01ef41feb754f78c350","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613445","0.01582074655","0.25","","","Stake",""
"0x2759859ef32e27d69a56c4ebf7aba857d06da5bdf4ca96ac8c3f9199ea54e93a","9459437","1623445611","2021-06-11 21:06:51","0x17e071372ba2c7ec0d21030e27db41e9ab74b2eb","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613385","0.01581919915","0.25","","","Stake",""
"0x41a5de665c1e3a1570facfce9548908f1e7f3028ef89e08c153355cb2b63251d","9459471","1623445648","2021-06-11 21:07:28","0x89cff61026f6743b8d25ae9b253582083136b1c4","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613445","0.01582074655","0.25","","","Stake",""
"0x1d1892bcf27212d6b561d3adcd748059c3cf6f3966d0e353f6bddfd1ff6300b3","9459485","1623445667","2021-06-11 21:07:47","0xf95c6236a41b83c0c601d66ffefc087e11a8a0ff","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613505","0.01582229395","0.25","","","Stake",""
"0x0eebbd803aabdc7b1d8c924bd47ab54c850a959fa749981ac0e397d1965f55f9","9459497","1623445682","2021-06-11 21:08:02","0x922d92e77293e7d65300fa9478114c73ea6ad6e4","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613505","0.01582229395","0.25","","","Stake",""
"0x6ca7b6961521281a200f2f8e58f588f5f961a606092bca978c5ed9aba3b4dc80","9459505","1623445691","2021-06-11 21:08:11","0xf0b080f40b276f5fcfa28763fabcaf20c68ceeef","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613445","0.01582074655","0.25","","","Stake",""
"0x75c6bc4b53284ab250de176a1361775ebfcb01ced97cbd09952af6eb2cef9179","9459521","1623445706","2021-06-11 21:08:26","0xcc0960243d099bcae96c0d1aeacdda01434d2ebc","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613445","0.01582074655","0.25","","","Stake",""
"0xbcc5b95a790bfa8c8dd9452c0f5bde26b3d2b7e6a7b5af8e8e3b58060062a7ce","9459548","1623445734","2021-06-11 21:08:54","0xf2327b04521589f505c7074c163805843a4bd6cd","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613505","0.01582229395","0.25","","","Stake",""
"0x7378c09a98502bfa2d2897e03ff0552c61cd377773a526b5642f701b49ec3d01","9459576","1623445758","2021-06-11 21:09:18","0x8fc70cda8a72e8c83cd8372009e2cffa2ad95f5b","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00613445","0.01582074655","0.25","","","Stake",""
"0x4382abebb8f622812fe25dd9a59f4ccd2163c33e19e8ddfe311aff336f25c878","9459590","1623445771","2021-06-11 21:09:31","0xcf9d879f03607c3d411c9449b410f3964d449730","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.0061957945","0.0159789540155","0.25","","","Stake",""
"0x97fbc0edd76f1bd77534dfe1714b6de3fa2f2bb08dd5f7c153fce3e1c548629b","9459651","1623445826","2021-06-11 21:10:26","0x1c39c305742687aa8e3fafa91635e26861302ceb","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00681537395","0.01757684941705","0.25","","","Stake",""
"0x9370147801fe984e74008da057ca02e5621ba11c85ebace35a37456f2d89d336","9459667","1623445846","2021-06-11 21:10:46","0x4e40c0825d0a3648d8bdc92d15d649628f86f84a","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00681537395","0.01757684941705","0.25","","","Stake",""
"0xd1acea68d35227db2c95691d8aa7916aa513273b99f5fc678e13b2fb1aa91346","9459709","1623445884","2021-06-11 21:11:24","0xc3e1e1358bda2a0c0e610b33871e6ebbf1523a58","0x8764de60236c5843d9faeb1b638fbce962773b67","","0","0","0","0.00681470735","0.01757513025565","0.25","","","Stake",""
