"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.545/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x0c392a2f701e5b02df2f5c32016d80db8c51b17780f584ea92a641fbfde8f5ae","8306824","1622414362","2021-05-30 22:39:22","0x12164b332d01cc694e752d7039ee21d56fe7705d","","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","0","0","0","0.1149449","0.2925347705","0.29","","","0x60806040",""
"0xaef8ae92bc18acc1c5d40685d450e7ebd5020e81ea15fdc07865bd31320ea400","8309978","1622416531","2021-05-30 23:15:31","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.0404374","0.102913183","0.29","","","Add",""
"0x9175f037bc1afe08fb53038fcd0e36624d52f0de0cefb5b21459decfa7ab91ad","8309985","1622416536","2021-05-30 23:15:36","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.0392492","0.099889214","0.29","","","Add",""
"0x7401434ed7b7975743eb9c45424c19d3288800f97a4ee459b09872c5eab33549","8309992","1622416540","2021-05-30 23:15:40","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.03941105","0.10030112225","0.29","","","Add",""
"0x573748f91a4fc2d2eb81321cd115c395fb9302e175950eebb97c39239b4ee781","8309996","1622416543","2021-05-30 23:15:43","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.0395723","0.1007115035","0.29","","","Add",""
"0x72f6eba202af8590391e21c9325887ebfd1dcbefa6649c5ae5cf12fd0f3ec318","8314726","1622419737","2021-05-31 00:08:57","0x5a846b8c0a221acbb93257810d4aeda5e70450a4","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.006236538","0.01587198921","0.32","","","Deposit",""
"0x2413db6d50e836c9130ef4d16dd8deb009abc5cbb96839c842fb5247c43c5c35","8315453","1622420225","2021-05-31 00:17:05","0x35c57b6e625a292e70a02b31e3124ac164b4df7d","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.00524733","0.01335445485","0.32","","","Deposit",""
"0xcb91f8e8aa0ed2b6063bc73c361e62bd38e2fb9459677911006e1b452024d650","8315579","1622420312","2021-05-31 00:18:32","0x922d92e77293e7d65300fa9478114c73ea6ad6e4","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.01394184","0.0354819828","0.32","","","Deposit",""
"0x1df1b722a07fb93ce86f595d124d64faa64d51231db5efa6d9e46bf3ca57f9c7","8315799","1622420466","2021-05-31 00:21:06","0x922d92e77293e7d65300fa9478114c73ea6ad6e4","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.005245746","0.01335042357","0.32","","","Deposit",""
"0x013a9ce5a82ed8a960482beaa22f3e7edd751e6b161dfa00edbd4c934b4361d9","8316127","1622420683","2021-05-31 00:24:43","0x00f051cb90271d686e2cb9b6e2962579b6d68033","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.012102816","0.03080166672","0.32","","","Deposit",""
"0xbce270fefb6572e776e4a97428b5fd766d23d40b88ccd27ad876390b085f1cdf","8316561","1622420977","2021-05-31 00:29:37","0xb9f6d1ed0eea35267a10f5baf6412575c65ef74d","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.006267558","0.01595093511","0.32","","","Deposit",""
"0xaae25f7e6955b4951ec2885dfd5c71c190b961a1d037688dfa831c6d177633e0","8316609","1622421007","2021-05-31 00:30:07","0xc35795a4b9b52125ac3cc698d05741ff6f772c62","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.004287558","0.01091183511","0.32","","","Deposit",""
"0xcb142ba2c218cf498ce55c25d46c24003dac0ab2e6c63b17685434b51ea3431d","8316646","1622421032","2021-05-31 00:30:32","0xc8e3e30085b516bec6dad80404b106fcb74a1eca","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.005277558","0.01343138511","0.32","","","Deposit",""
"0xccc339873eaa61821147ae0dab40eed618a485e45a6462a6b3a75558cad5247d","8316648","1622421034","2021-05-31 00:30:34","0xb9f6d1ed0eea35267a10f5baf6412575c65ef74d","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.012103608","0.03080368236","0.32","","","Deposit",""
"0xab378dda56317829448801ce238ce6c9eb9c53a368930a561cfc5adb9b25e0de","8316649","1622421034","2021-05-31 00:30:34","0xeea90ac8c06c1d1b76c4332c12ceae927aad2e69","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.005245746","0.01335042357","0.32","","","Deposit",""
"0xc2150afea33b1e51763a0e71cbe213acabae17ca011e2af841f3cc75dac11190","8316664","1622421044","2021-05-31 00:30:44","0xb9f6d1ed0eea35267a10f5baf6412575c65ef74d","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.004469058","0.01137375261","0.32","","","Deposit",""
"0xf9e0e1a6e0421cf67aea4c5537d0efec8891bac3510e5f7a916c9aa8e3e16f0c","8316666","1622421046","2021-05-31 00:30:46","0x922d92e77293e7d65300fa9478114c73ea6ad6e4","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.004438038","0.01129480671","0.32","","","Deposit",""
"0xd44ec3b03e12e4c8f503a5cb7b2f0ffbe84a114026c903a42adbe93664c5066b","8316676","1622421052","2021-05-31 00:30:52","0x0fb4bb5f121c75019c5c0ea2417c6749f5f35033","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.004287558","0.01091183511","0.32","","","Deposit",""
"0x0efbb4d8b3fb95d15ebf00e16372835999845fd7b6938627ff51eefa5aa9aebb","8317153","1622421370","2021-05-31 00:36:10","0x0fb4bb5f121c75019c5c0ea2417c6749f5f35033","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.005245746","0.01335042357","0.32","","","Deposit",""
"0xb6f0837b75667c4e03d642c5496e56eacddad7c950dac169ad2a3e46e92f7e4c","8317360","1622421501","2021-05-31 00:38:21","0x70038de1e66bb5300be670ad333fdc7b1ef52376","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.00428835","0.01091385075","0.32","","","Deposit",""
"0xca0d1b9469e01b3b95beb75a0ad37f21e5f378151649ecdd86e8a3d337192d19","8317625","1622421685","2021-05-31 00:41:25","0x93b8adb29d02b07bdc1a07743d2df5c00c7ce739","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.004287558","0.01091183511","0.32","","","Deposit",""
"0x5196570fe4888eca9ed79daa76760b2f7b68fccbc0b85da98f595222ea7328ce","8317690","1622421729","2021-05-31 00:42:09","0x01dd5d5d0b0bb5bf8dbf7e6d6d8a711578534a58","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.004287558","0.01091183511","0.32","","","Deposit",""
"0x286df3f320615cdc4267da730b3c9cb9c1109e1e0e1ef63ce75cb5d8cebb3a78","8317802","1622421802","2021-05-31 00:43:22","0xdbdda15663cdfe1438a19d0126674420f7047b32","0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b","","0","0","0","0.012102816","0.03080166672","0.32","","","Deposit",""
