"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.92/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x5097643508209e186c71f695c06b232c9ae99a3bb56d9ac7f9bafc83427ddb33","4768309","1619827206","2021-05-01 00:00:06","0x37c7a86fb5db6a02e9ca65e94e8169ebe32f7e1b","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","10.10825","0","29.51609","0.000277008","0.00080886336","0.81","","","Add Liquidity ETH",""
"0xed188ca75e64eff5fa99b560ff69202d0d54aff79cc98eb67bcca8217ecc6795","4768314","1619827210","2021-05-01 00:00:10","0x5e962b91dd6ddd2eec8e7df5215ab3ed50e0793f","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","465.120151264056290273","0","1358.15084169104","0.000213676","0.00062393392","0.81","","","Add Liquidity ETH",""
"0xaa74b9995fc8cc789ced2c82aea24e7e36a75ecf57676d390fb07e22cc09b647","4768333","1619827223","2021-05-01 00:00:23","0x7362c930840e13dc940e5a61df6c35180618f34f","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","29.944273346466716744","0","87.4372781716828","0.000234793","0.00068559556","0.81","","","Add Liquidity ETH",""
"0x2d5c06071b55bd4579255cfe7ec8bdf69ed05b2d6564232e5d11603f2549dd20","4768384","1619827260","2021-05-01 00:01:00","0xe10b953b345ed9f1326d3c8e0ab1842e86f7f7c0","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","1","0","2.92","0.000167914747","0.00049031106124","0.81","","","Swap Exact ETH For Tokens",""
"0xaf8e9486b28fdcd42f88dc2336eb283b321bff24c8388b0bf1cc606afa02f9e7","4768384","1619827260","2021-05-01 00:01:00","0x66e4df76fe8a76e2ccefac7e48e3693bc2aca064","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","0","0","0","0.000263355","0.0007689966","0.81","","","Add Liquidity",""
"0xac41c27f49fe075823f4662e2f37a753d52d129c3bf25bfd3e9bca1b6894d104","4768392","1619827265","2021-05-01 00:01:05","0xe10b953b345ed9f1326d3c8e0ab1842e86f7f7c0","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","1","0","2.92","0.000152825673","0.00044625096516","0.81","","","Swap Exact ETH For Tokens",""
"0x028cf12c91147a40f2b616237a6cd5dfb54d43f295abf9b706fe2c5f43ad2bfe","4768394","1619827266","2021-05-01 00:01:06","0xdf7c7c18cff4c6fbb2ad1a6f4454c665600727ff","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","0","0","0","0.000180534","0.00052715928","0.81","","","Remove Liquidity ETH",""
"0xd92e107a99a3e5a50ac1327305eb7549342d5a1f980ff6fdb55499bd1006950a","4768401","1619827272","2021-05-01 00:01:12","0xe10b953b345ed9f1326d3c8e0ab1842e86f7f7c0","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","1","0","2.92","0.000152899747","0.00044646726124","0.81","","","Swap Exact ETH For Tokens",""
"0x5792fec9008619391b1ceca20b5721b8bcf33f81d73bf3e7c891cc6ac4787565","4768408","1619827278","2021-05-01 00:01:18","0xe10b953b345ed9f1326d3c8e0ab1842e86f7f7c0","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","1","0","2.92","0.00015318303","0.0004472944476","0.81","","","Swap Exact ETH For Tokens",""
"0xc9f50055f42e446c82b4ac90a0dbc27ca23c5a32a3a6fdfafa7340cf735b0f72","4768411","1619827280","2021-05-01 00:01:20","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xf491e7b69e4244ad4002bc14e878a34207e38c29","","7444.882759145587299736","0","21739.0576567051","0.000139314","0.00040679688","0.81","","","Swap Exact ETH For Tokens",""
