"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.521/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x88725502d14c4080a3ee6de5d147b31af59c4f3be1d7be7546d165a65385134e","8306180","1622413912","2021-05-30 22:31:52","0x12164b332d01cc694e752d7039ee21d56fe7705d","","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","0","0","0","0.2042934","0.5150236614","0.29","","","0x60068054",""
"0x01acda810b58f60aa9913033d9937a706d5c7299127d2d8e250326c392451723","8306893","1622414418","2021-05-30 22:40:18","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.03848025","0.09700871025","0.29","","","Distribute Reward",""
"0xeb95d22b2503c15eae7f80d509d3a5bec1465e6ceeb6c7b8fc36a5fbc8caf811","8307388","1622414805","2021-05-30 22:46:45","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.0355951","0.0897352471","0.29","","","Approve",""
"0xcf868c7365888d662c7eae0db4d053c1d516e5c29efb8001e248967b8859c909","8307428","1622414833","2021-05-30 22:47:13","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.0347311","0.0875571031","0.29","","","Approve",""
"0x753ebf724e49d77d246419c9e4743e5e12aee955889ae4e5f0652105437780f5","8308903","1622415826","2021-05-30 23:03:46","0xb1c2ab40aeeae75ce81f242fa29492972d2d98ba","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.002960034","0.007462245714","0.29","","","Approve",""
"0xc0b21d459b7c10342edd0596eb60d24326d15db7f358b9058f21b0ed6618ce29","8310427","1622416834","2021-05-30 23:20:34","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.03556815","0.08966730615","0.29","","","Set Tomb Oracle",""
"0x16e6d820f6b048c58d628af852a25edfb90f5abf2b14e54261f855de3f40e712","8310573","1622416938","2021-05-30 23:22:18","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.0356641","0.0899091961","0.29","","","Set Tax Office",""
"0xefab5973616a73b682ee66289e0cc7b85d5f9177f5ebe12a109159e21740e1e4","8310841","1622417134","2021-05-30 23:25:34","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.0356126","0.0897793646","0.29","","","Exclude Address",""
"0x167d65393a04e164d11f5655b929e6c2057efba77b799185148d9b04ed55f650","8310844","1622417137","2021-05-30 23:25:37","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.0356126","0.0897793646","0.29","","","Exclude Address",""
"0x51408ca93aa5e7fa2c5d0e16ebd36e4dcca42b0dfaa36a4182e9e327bcffd3cc","8310846","1622417138","2021-05-30 23:25:38","0x12164b332d01cc694e752d7039ee21d56fe7705d","0x6c021ae822bea943b2e66552bde1d2696a53fbb7","","0","0","0","0.0356126","0.0897793646","0.29","","","Exclude Address",""
