,Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $3.003/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,vlorandup,Relevant,Arguments used by tomb dev,Contract,Method,Our Arguments,Notes,
https://ftmscan.com/tx/0xc51f5d46e3f1a97ddc521f68cb67ee34c1eb391c59b34eb99523c9ed342ea814,0xc51f5d46e3f1a97ddc521f68cb67ee34c1eb391c59b34eb99523c9ed342ea814,8259039,1622382469,30-05-21 13:47,0x5a846b8c0a221acbb93257810d4aeda5e70450a4,0x12164b332d01cc694e752d7039ee21d56fe7705d,,1000,0,3003,0.001386,0.004162158,0.29,,,Transfer,#N/A,No,transfer 100 FTM to deployer,,,,,
https://ftmscan.com/tx/0x5db49bc19d333d5f1e73806e32c431c1e505aeb1fed80b1ac81093cead5e0fdd,0x5db49bc19d333d5f1e73806e32c431c1e505aeb1fed80b1ac81093cead5e0fdd,8306159,1622413890,30-05-21 22:31,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0xd1f5f1ab6ead80b3bf81268566a085be9186bb59,0,0,0,0.039803,0.119528409,0.29,,,0x60806040,#N/A,?,no arguments,,,,,*1622637000 = Jun 02 2021 12:30:00
https://ftmscan.com/tx/0x671de9640db6a99201528261aa5aa199bfa8c00e4a0beb29bb3aa2b74acf5288,0x671de9640db6a99201528261aa5aa199bfa8c00e4a0beb29bb3aa2b74acf5288,8306175,1622413905,30-05-21 22:31,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd1f5f1ab6ead80b3bf81268566a085be9186bb59,,0,0,0,0.0355113,0.106640434,0.29,,,Set Completed,#N/A,?,completed = 1,,,,,**1622723400 = Jun 03 2021 12:30:00
https://ftmscan.com/tx/0x88725502d14c4080a3ee6de5d147b31af59c4f3be1d7be7546d165a65385134e,0x88725502d14c4080a3ee6de5d147b31af59c4f3be1d7be7546d165a65385134e,8306180,1622413912,30-05-21 22:31,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0x6c021ae822bea943b2e66552bde1d2696a53fbb7,0,0,0,0.2042934,0.61349308,0.29,,,0x60068054,https://ftmscan.com/tx/0x88725502d14c4080a3ee6de5d147b31af59c4f3be1d7be7546d165a65385134e,Yes,"tax rate = 0, tomb finance dao wallet address",tomb: ,Create Contract,,,***1623069000 = Jun 07 2021 12:30:00
https://ftmscan.com/tx/0x1ac1a54266c5bc31e76e5c1cfc2dc25ec60c631a7b4f37727d9a49686deeeb68,0x1ac1a54266c5bc31e76e5c1cfc2dc25ec60c631a7b4f37727d9a49686deeeb68,8306195,1622413930,30-05-21 22:32,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0x4cdf39285d7ca8eb3f090fda0c069ba5f4145b37,0,0,0,0.1326305,0.398289392,0.29,,,0x60806040,https://ftmscan.com/tx/0x1ac1a54266c5bc31e76e5c1cfc2dc25ec60c631a7b4f37727d9a49686deeeb68,Yes,"starttime 1622637000* , tomb dao wallet ,tomb dev wallet",tShare: ,Create Contract,,,21600s = 6h
https://ftmscan.com/tx/0x7e7be177000ae2c2b5033c7fe7920216b78c0ad249fe29a718a93df944c3bff2,0x7e7be177000ae2c2b5033c7fe7920216b78c0ad249fe29a718a93df944c3bff2,8306200,1622413934,30-05-21 22:32,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0x24248cd1747348bdc971a5395f4b3cd7fee94ea0,0,0,0,0.10020045,0.300901951,0.29,,,0x60806040,https://ftmscan.com/tx/0x7e7be177000ae2c2b5033c7fe7920216b78c0ad249fe29a718a93df944c3bff2,Yes,no constructor arguments,tBond: ,Create Contract,,,****1623501000 = Jun 12 2021 12:30:00
https://ftmscan.com/tx/0x2a08f3b6922f991bcf59ea88624821b4624d88f97f6ac3c79db39cb39e984531,0x2a08f3b6922f991bcf59ea88624821b4624d88f97f6ac3c79db39cb39e984531,8306206,1622413938,30-05-21 22:32,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd1f5f1ab6ead80b3bf81268566a085be9186bb59,,0,0,0,0.0348363,0.104613409,0.29,,,Set Completed,#N/A,?,completed = 2,,,,,
https://ftmscan.com/tx/0x0c392a2f701e5b02df2f5c32016d80db8c51b17780f584ea92a641fbfde8f5ae,0x0c392a2f701e5b02df2f5c32016d80db8c51b17780f584ea92a641fbfde8f5ae,8306824,1622414362,30-05-21 22:39,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0x9a896d3c54d7e45b558bd5fff26bf1e8c031f93b,0,0,0,0.1149449,0.345179535,0.29,,,0x60806040,https://ftmscan.com/tx/0x0c392a2f701e5b02df2f5c32016d80db8c51b17780f584ea92a641fbfde8f5ae,Yes,"tomb address, shiba address, starttime 1622637000*",TombGenRewardPool: ,Create Contract,,,
https://ftmscan.com/tx/0x8640782ad96685b26b561b3537668f8a3d37418222b792c42391a165ae828d74,0x8640782ad96685b26b561b3537668f8a3d37418222b792c42391a165ae828d74,8306829,1622414366,30-05-21 22:39,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd1f5f1ab6ead80b3bf81268566a085be9186bb59,,0,0,0,0.0348363,0.104613409,0.29,,,Set Completed,#N/A,?,completed = 3,,,,,
https://ftmscan.com/tx/0xb2a4a570f60c76ed395f7964c22613248bce953d8256e9544283bad0c020aee2,0xb2a4a570f60c76ed395f7964c22613248bce953d8256e9544283bad0c020aee2,8306835,1622414369,30-05-21 22:39,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0xa7b16703470055881e7ee093e9b0bf537f29cd4d,0,0,0,0.11863785,0.356269464,0.29,,,0x60006004,https://ftmscan.com/tx/0xb2a4a570f60c76ed395f7964c22613248bce953d8256e9544283bad0c020aee2,Yes,"tomb address, 1622723400**",TombFtmRewardPool,Create Contract,,Broken contract!,
